Station (KS09) (青砥駅),中原区新丸子東
1512,Asakusa Line Ningyocho Station (A14) (都営浅草線 人形町駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1002,Ukimafunado Station (浮間舟渡駅),丸の内
1830,Toyocho Station (T14) (東陽町駅),宮前区野川
86,Tozai Line Otemachi Station (T09) (東西線 大手町駅),丸の内
2187,Warabi Station (蕨駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
2187,Shinagawa Seaside Station (R06) (品川シーサイド駅),幸区小倉
1710,大國魂神社,幸区小倉
1617,JR武蔵小杉駅 3-4番線ホーム,丸の内
1790,Kameya (かめや 新宿店),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
113,Kajigaya Station (DT11) (梶が谷駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1541,Sakaecho Park (栄町公園),丸の内
1018,仲蒲田公園,日本
1519,Pacific Century Place Marunouchi (パシフィックセンチュリープレイス丸の内),丸の内
1555,Futako-tamagawa Station (二子玉川駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
2083,Kachidoki Bridge (勝鬨橋),丸の内
1541,St. Marc Café (サンマルクカフェ 御嶽山店),八重洲
1462,Hiyoshi-honcho Station (G09) (日吉本町駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1913,Shimbashi Station (新橋駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1362,Kita-Asaka Station (北朝霞駅),大崎
1667,Musashi-Urawa Station (武蔵浦和駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
593,Minami-Urawa Station (南浦和駅),丸の内
1937,Kasai Station (T17) (葛西駅),丸の内
113,Futako-shinchi Station (DT08) (二子新地駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
264,Tokyo Station (東京駅),丸の内
2250,FamilyMart (ファミリーマート 八重洲一丁目店),外神田
1790,浅草駅前 スモーキングエリア,外神田
2260,Tokyo Station (東京駅),有楽町
1190,Ueno Station (上野駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1587,Akihabara Station (秋葉原駅),丸の内
1672,JR 品川駅 3-4番線ホーム,中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1108,柘榴坂,丸の内
874,目黒雅叙園 クラブラウンジ,丸の内
2290,目黒雅叙園 クラブラウンジ,中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
92,Minami-gyotoku Station (T19) (南行徳駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
2267,Urayasu Station (T18) (浦安駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
318,Kasai Station (T17) (葛西駅),港北区箕輪町
155,Kudanshita Station (九段下駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
263,Nagatacho Station (永田町駅),丸の内
2267,Kita-Senju Station (北千住駅),丸の内
1646,Shin-Okachimachi Station (新御徒町駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1512,Uchisaiwaicho Station (I07) (内幸町駅),丸の内
2212,BECK'S COFFEE SHOP 新宿店,上野
409,BECK'S COFFEE SHOP 新宿店,中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
263,Musashi-Urawa Station (武蔵浦和駅),丸の内
1809,JR 新橋駅 横須賀線地下1-2番線ホーム,丸の内
1147,桜田公園,中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1960,新橋三丁目 交差点,都筑区東山田町
1828,西新橋二丁目第二交差点,平和島
146,南桜公園,海岸
1646,愛宕一丁目交差点,八重洲
1018,Keikyu Shinagawa Station (KK01) (京急 品川駅),丸の内
733,ファミリーマート 東大泉4丁目店,中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1828,Ōizumi-gakuen Station (SI11) (大泉学園駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1930,Seibu Ikebukuro Station (SI01) (西武 池袋駅),丸の内
2250,JR Ikebukuro Station (JR 池袋駅),神田松永町 (第二砂川ビル BF)
1007,Tabata Station (田端駅),神田須田町
822,Kami-Nakazato Station (上中里駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1076,滝野川公園,丸の内
271,Gokokuji Station (Y11) (護国寺駅),中原区小杉町/新丸子東 (南武線/横須賀線/東急東横線/目黒線)
1753,鳩山会館,丸の内
